jugador;pais;posicion;equipo;liga;edad;partidos_jugados;partidos_titular;minutos_jugados;goles_sin_penalties;npxG+xA;goles;disparos;disparos_a_puerta;%_disparos_a_puerta;goles/disparo;goles/disparo_a_puerta;distancia_media_disparo;tiros_libres_lanzados;penalties_marcados;penalties_intentados;xG;npxG;npxG/Sh;G-xG;npG-xG;pases_completados;pases_intentados;%_pases_completados;valor_de_mercado
Bouna Sarr;SEN;DF;Bayern Munich;de Bundesliga;29;5;0;64;0;0;0;1;0;0;0;0;14;0;0;0;0;0;0,05;0;0;30;44;68,2;3416666
Bradley Barcola;FRA;FW,MF;Lyon;fr Ligue 1;18;11;2;263;0;1,5;0;5;2;40;0;0;12,1;0;0;0;0,5;0,5;0,09;-0,5;-0,5;62;87;71,3;2500000
Brahim Díaz;ESP;MF;Milan;it Serie A;21;31;25;1855;3;7,2;3;30;6;20;0,1;0,5;16,8;0;0;0;4,7;4,7;0,16;-1,7;-1,7;616;730;84,4;20500000
Brais Méndez;ESP;MF;Celta Vigo;es La Liga;24;37;36;3021;4;8,2;4;56;16;28,6;0,07;0,25;19,1;3;0;0;4,3;4,3;0,08;-0,3;-0,3;1204;1519;79,3;18285714
Bram Nuytinck;NED;DF;Udinese;it Serie A;31;27;23;2033;1;1,4;1;10;3;30;0,1;0,33;8,1;0;0;0;1,2;1,2;0,12;-0,2;-0,2;788;927;85;4100000
Brandon Soppy;FRA;DF,MF;Udinese;it Serie A;19;28;7;777;0;0,6;0;6;2;33,3;0;0;12,5;0;0;0;0,4;0,4;0,07;-0,4;-0,4;166;233;71,2;7333333
Brandon Williams;ENG;DF;Norwich City;eng Premier League;20;26;23;2120;0;1,5;0;4;1;25;0;0;20,2;0;0;0;0,2;0,2;0,05;-0,2;-0,2;901;1115;80,8;10400000
Branimir Hrgota;SWE;FW;Greuther Fürth;de Bundesliga;28;34;33;2777;4;8,6;9;60;20;33,3;0,07;0,2;19,8;6;5;5;9,2;5,4;0,09;-0,2;-1,4;536;747;71,8;1900000
Brayann Pereira;FRA;DF;Lens;fr Ligue 1;18;2;0;15;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;16;81,3;533333
Breel Embolo;SUI;FW,MF;M'Gladbach;de Bundesliga;24;29;24;2166;9;13,5;9;48;23;47,9;0,19;0,39;13,5;0;0;0;8,8;8,8;0,18;0,2;0,2;430;587;73,3;17125000
